,Team,xG,xGA,xG Differential
1,Manchester City,12.84,3.10,9.74
2,Liverpool,11.65,5.32,6.33
3,Tottenham Hotspur,11.27,5.35,5.92
4,Brighton & Hove Albion,12.62,7.25,5.37
5,Arsenal,8.12,4.34,3.78
6,Brentford,8.67,6.23,2.44
7,Crystal Palace,6.85,4.90,1.95
8,Chelsea,6.54,4.89,1.65
9,Newcastle United,7.52,6.55,0.97
10,West Ham United,9.38,8.97,0.42
11,Aston Villa,9.66,9.35,0.31
12,Everton,6.55,6.57,-0.02
13,Nottingham Forest,5.30,6.50,-1.19
14,Manchester United,6.78,9.64,-2.86
15,Wolverhampton,5.28,9.65,-4.37
16,Bournemouth,4.27,9.62,-5.36
17,Burnley,2.55,8.00,-5.45
18,Luton Town,3.26,9.66,-6.40
19,Fulham,5.65,12.18,-6.54
20,Sheffield United,3.88,10.57,-6.70
